id;"Comp. Word";Pronunciation;"English Translation";Frequency
13393;老木;rooboku;"old tree";88
13394;安穏;annon;peace;87
13395;異母;ibo;"different mother";87
13396;一隅;itiguu;corner;87
13397;一足;issoku;pair;87
13398;雨傘;amagasa;umbrella;87
13399;解題;kaidai;synopsis;87
13400;解脱;gedatu;"being liberated from earthly desires and the woes of man";87
13401;概数;gaisuu;"round numbers";87
13402;窮屈;kyuukutu;narrow;87
13403;苦悶;kumon;anguish;87
13404;袈裟;kesa;kasaya;87
13405;混信;konsin;jamming;87
13406;紙屋;kamiya;"paper store";87
13407;次号;zigoo;"the next issue";87
13408;柴犬;sibainu;Shiba;87
13409;社殿;syaden;"Shinto shrine";87
13410;手鏡;tekagami;hand-mirror;87
13411;樹液;zyueki;sap;87
13412;醜悪;syuuaku;ugliness;87
13413;縦糸;tateito;warp;87
13414;重宝;tyoohoo;convenient;87
13415;銃砲;zyuuhoo;guns;87
13416;初出;syosyutu;"first appearance";87
13417;緒戦;syosen;"beginning of hostilities";87
13418;焼成;syoosei;firing;87
13419;神業;kamiwaza;"divine work";87
13420;人称;ninsyoo;person;87
13421;崇敬;suukei;reverence;87
13422;政談;seidan;"talking politics";87
13423;正気;syooki;sanity;87
13424;節制;sessei;moderation;87
13425;先住;senzyuu;"previous priest or resident";87
13426;相愛;sooai;"mutual love";87
13427;存否;sonpi;"existent or non-existent";87
13428;太白;taihaku;Venus;87
13429;波間;namima;"on the waves";87
13430;伯楽;bakuroo;"cattle or horse trader";87
13431;秘仏;hibutu;"Buddhist image normally withheld from public view";87
13432;百害;hyakugai;"great damage";87
13433;不意;hui;sudden;87
13434;賦課;huka;levy;87
13435;封入;huunyuu;enclose;87
13436;復配;hukuhai;"resumption of dividends";87
13437;無能;munoo;inefficiency;87
13438;油性;yusei;oil-based;87
13439;有情;uzyoo;"sentient beings";87
13440;利殖;risyoku;money-making;87
13441;論集;ronsyuu;"treatise or essay collection";87
13442;脇道;wakimiti;"side road";87
13443;嘲笑;tyoosyoo;scorn;87
13444;営繕;eizen;upkeep;86
13445;黄土;oodo;earth;86
13446;過怠;katai;negligence;86
13447;解熱;genetu;"lowering a fever";86
13448;看取;kansyu;"seeing through";86
13449;金言;kingen;"wise saying";86
13450;寓意;guui;"hidden meaning";86
13451;芸歴;geireki;"one's history as a performer";86
13452;剣術;kenzyutu;fencing;86
13453;五色;gosiki;"variegated colors";86
13454;高段;koodan;"highly ranked";86
13455;錯乱;sakuran;confusion;86
13456;姿見;sugatami;dresser;86
13457;守衛;syuei;"security guard";86
13458;殊勝;syusyoo;admirable;86
13459;宿主;syukusyu;host;86
13460;初音;hatune;"first warbling heard in a New Year";86
13461;初志;syosi;"original intention";86
13462;暑中;syotyuu;mid-summer;86
13463;昇殿;syooden;"entry into the sanctum of a shrine or temple";86
13464;心性;sinsei;mind;86
13465;人月;ningetu;"man month";86
13466;盛夏;seika;midsummer;86
13467;石神;isigami;"stone which is worshipped";86
13468;赤面;sekimen;blushing;86
13469;双頭;sootoo;double-headed;86
13470;淡々;tantan;uninterested;86
13471;反物;tanmono;fabric;86
13472;微力;biryoku;"poor ability";86
13473;鼻毛;hanage;"nostril hairs";86
13474;腹膜;hukumaku;peritoneum;86
13475;奮発;hunpatu;"strenuous exertion";86
13476;墓誌;bosi;epitaph;86
13477;勃起;bokki;erection;86
13478;緑風;ryokuhuu;"early-summer breeze";86
13479;令嗣;reisi;heir;86
13480;路盤;roban;roadbed;86
13481;話法;wahoo;narration;86
13482;蝸牛;kagyuu;snail;86
13483;威容;iyoo;dignity;85
13484;一興;ikkyoo;amusement;85
13485;一睡;issui;"a wink of sleep";85
13486;横風;oohuu;"cross wind";85
13487;丸腰;marugosi;unarmed;85
13488;休診;kyuusin;"no medical examinations";85
13489;巨峰;kyohou;"gigantic peak";85
13490;虚空;kokuu;"empty space";85
13491;近県;kinken;"neighboring prefectures";85
13492;金目;kaneme;"monetary value";85
13493;矩形;kukei;rectangle;85
13494;元朝;gantyoo;"New Year's morning";85
13495;皇女;oozyo;"imperial princess";85
13496;黒点;kokuten;"black spot";85
13497;採石;saiseki;quarrying;85
13498;就役;syuueki;"placed in commission";85
13499;宿坊;syukuboo;"visitor's or pilgrims' lodgings in a temple";85
13500;峻別;syunbetu;"rigorous distinction";85
13501;遵守;zyunsyu;compliance;85
13502;女史;zyosi;Ms;85
13503;象形;syookei;hieroglyphics;85
13504;真打;sinuti;"star performer";85
13505;辛苦;sinku;hardship;85
13506;増分;zoobun;incremental;85
13507;鼎談;teidan;talk;85
13508;天来;tenrai;heavenly;85
13509;吐血;toketu;"vomiting of blood";85
13510;独語;dokugo;monologue;85
13511;内勤;naikin;"office or indoor work";85
13512;日舞;nitibu;"traditional Japanese dance";85
13513;入校;nyuukoo;matriculation;85
13514;半周;hansyuu;semicircle;85
13515;浮島;ukisima;"floating mass";85
13516;物性;bussei;"physical properties";85
13517;兵曹;heisoo;"warrant soldier";85
13518;法話;hoowa;"Buddhist sermon";85
13519;本邦;honpoo;"this country";85
13520;妙薬;myooyaku;"wonder drug";85
13521;名分;meibun;justification;85
13522;来世;raise;"the next world";85
13523;和人;wazin;"Japanese person";85
13524;和声;wasei;harmony;85
13525;愛飲;aiin;"usual drink";84
13526;悪政;akusei;misgovernment;84
13527;圧殺;assatu;"crushing to death";84
13528;衣裳;isyoo;clothing;84
13529;一極;ikkyoku;monopole;84
13530;一糸;issi;thread;84
13531;一筆;ippitu;"a few lines";84
13532;一目;hitome;glance;84
13533;応力;ooryoku;stress;84
13534;横柄;oohei;arrogance;84
13535;何時;itu;when;84
13536;火炎;kaen;flame;84
13537;学齢;gakurei;"school age";84
13538;歓呼;kanko;acclamation;84
13539;簡潔;kanketu;brevity;84
13540;奇岩;kigan;"strangely shaped rocks";84
13541;奇人;kizin;"queer fellow";84
13542;給費;kyuuhi;"provision of expenses";84
13543;巨樹;kyozyu;"giant tree";84
13544;虚飾;kyosyoku;ostentation;84
13545;供応;kyoooo;entertainment;84
13546;強壮;kyoosoo;able-bodied;84
13547;狂歌;kyooka;tanka;84
13548;極悪;gokuaku;heinous;84
13549;襟元;erimoto;"front of neck";84
13550;劇評;gekihyoo;"drama criticism";84
13551;県会;kenkai;"prefectural assembly";84
13552;湖上;kozyoo;"on the lake";84
13553;碁石;goisi;"Go pieces";84
13554;広間;hiroma;hall;84
13555;港内;koonai;"inside the harbour";84
13556;紅玉;koogyoku;ruby;84
13557;国書;kokusyo;credentials;84
13558;市価;sika;"market price";84
13559;実学;zitugaku;"practical science";84
13560;従者;zyuusya;follower;84
13561;出窓;demado;"bay window";84
13562;説諭;setuyu;persuasion;84
13563;速力;sokuryoku;speed;84
13564;沢山;takusan;many;84
13565;脱藩;dappan;"becoming a lordless samurai";84
13566;竪琴;tategoto;harp;84
13567;朝来;tyoorai;"ever since morning";84
13568;直流;tyokuryuu;"direct current";84
13569;釣具;turigu;"fishing gear";84
13570;湯水;yumizu;"hot and cold water";84
13571;物欲;butuyoku;greed;84
13572;墨書;bokusyo;"writing in India ink";84
13573;名刹;meisatu;"famous temple";84
13574;野合;yagoo;"illicit union";84
13575;薬店;yakuten;pharmacy;84
13576;窯業;yoogyoo;ceramics;84
13577;臨港;rinkoo;"the harbor";84
13578;酩酊;meitei;drunkenness;84
13579;勘当;kandoo;disinheritance;83
13580;岩肌;iwahada;"bare rock";83
13581;結納;yuinoo;"engagement gift";83
13582;古語;kogo;"obsolete word";83
13583;戸口;toguti;door;83
13584;後塵;koozin;"second fiddle";83
13585;硬球;kookyuu;"hard ball";83
13586;高大;koodai;lofty;83
13587;司直;sityoku;judge;83
13588;死霊;siryoo;"spirit of a dead person";83
13589;樹氷;zyuhyoo;"frost covered trees";83
13590;竣工;syunkoo;"completion of construction";83
13591;乗艦;zyookan;"joining one's warship";83
13592;織機;syokki;loom;83
13593;信望;sinboo;confidence;83
13594;寝息;neiki;"sleeper's breathing";83
13595;神代;kamiyo;"ancient time";83
13596;製氷;seihyoo;"ice making";83
13597;西国;saikoku;"the western part of Japan";83
13598;静謐;seihitu;peacefulness;83
13599;善後;zengo;"giving careful thought to the future";83
13600;善政;zensei;"good government";83
13601;僧院;sooin;monastery;83
13602;藻類;soorui;seaweed;83
13603;増車;zoosya;"increase in the number of vehicles, trains, etc.";83
13604;単元;tangen;"teaching unit";83
13605;直観;tyokkan;intuition;83
13606;底面;teimen;bottom;83
13607;同一;dooitu;identity;83
13608;同格;dookaku;"the same rank";83
13609;銅板;dooban;"sheet copper";83
13610;鼻先;hanasaki;"tip of nose";83
13611;復唱;hukusyoo;recital;83
13612;猛獣;moozyuu;"wild animal";83
13613;容子;yoosu;state;83
13614;利根;rikon;intelligence;83
13615;麗人;reizin;"beautiful woman";83
13616;連関;renkan;connection;83
13617;悪気;warugi;"ill will";82
13618;遠泳;enei;"long-distance swimming";82
13619;遠縁;tooen;"distant relative";82
13620;果敢;kakan;resolute;82
13621;花柳;karyuu;"red-light district";82
13622;寒空;samuzora;"cold weather";82
13623;虚勢;kyosei;bluff;82
13624;犬猿;kenen;"dogs and monkeys";82
13625;厳命;genmei;"strict order";82
13626;後妻;gosai;"second wife";82
13627;語法;gohoo;diction;82
13628;市電;siden;"municipal railway";82
13629;赦免;syamen;remission;82
13630;秋空;akizora;"autumn sky";82
13631;初産;syosan;"first childbirth";82
13632;初耳;hatumimi;"something heard for the first time";82
13633;真横;mayoko;"directly horizontal";82
13634;水菜;mizuna;mizuna;82
13635;石塔;sekitoo;"stone monument or pagoda";82
13636;赤門;akamon;"red gate";82
13637;打棒;daboo;batting;82
13638;大系;taikei;outline;82
13639;珍妙;tinmyoo;queer;82
13640;伝聞;denbun;hearsay;82
13641;白状;hakuzyoo;confession;82
13642;半熟;hanzyuku;half-cooked;82
13643;晩夏;banka;"late summer";82
13644;美風;bihuu;"beautiful custom";82
13645;評点;hyooten;"comments and marks";82
13646;憤激;hungeki;fury;82
13647;文治;bunti;"civil administration";82
13648;編隊;hentai;formation;82
13649;俸給;hookyuu;salary;82
13650;防風;boohuu;anti-wind;82
13651;凡庸;bonyoo;mediocre;82
13652;薬師;kususi;doctor;82
13653;量感;ryookan;voluminous;82
13654;労金;rookin;"workers' credit union";82
13655;傀儡;kairai;puppet;82
13656;憔悴;syoosui;emaciation;82
13657;一策;issaku;idea;81
13658;一徹;ittetu;obstinate;81
13659;英傑;eiketu;"great man";81
13660;下船;gesen;"going ashore";81
13661;活版;kappan;printing;81
13662;器械;kikai;machine;81
13663;苦節;kusetu;"unswerving determination";81
13664;屈伸;kussin;elasticity;81
13665;皇国;kookoku;Japan;81
13666;高位;kooi;dignity;81
13667;山元;yamamoto;"owner of a mountain";81
13668;私信;sisin;"private message";81
13669;時勢;zisei;"spirit of the age";81
13670;受胎;zyutai;conception;81
13671;初犯;syohan;"first offender";81
13672;小話;kobanasi;anecdote;81
13673;深長;sintyoo;profound;81
13674;水雷;suirai;mine;81
13675;清々;seisei;"feeling refreshed";81
13676;戦端;sentan;"opening of hostilities";81
13677;禅宗;zensyuu;Zen;81
13678;大安;taian;"lucky day";81
13679;大罪;daizai;"serious crime";81
13680;大潮;oosio;"spring tide";81
13681;大葉;ooba;"beefsteak plant";81
13682;胆力;tanryoku;courage;81
13683;低率;teiritu;"low rate";81
13684;白亜;hakua;chalk;81
13685;肥厚;hikoo;thickening;81
13686;仏滅;butumetu;"Buddha's death";81
13687;文藝;bungei;literature;81
13688;良書;ryoosyo;"good book";81
13689;隣組;tonarigumi;"neighborhood association";81
13690;暦年;rekinen;"calendar year";81
13691;一利;itiri;"one advantage";80
13692;遠望;enboo;vista;80
13693;音感;onkan;"sense of sound";80
13694;寒中;kantyuu;mid-winter;80
13695;挙動;kyodoo;conduct;80
13696;興趣;kyoosyu;interest;80
13697;群舞;gunbu;"dancing in groups";80
13698;減圧;genatu;decompression;80
13699;胡蝶;kotyoo;butterfly;80
13700;誤訳;goyaku;mistranslation;80
13701;国賊;kokuzoku;traitor;80
13702;座骨;zakotu;ischium;80
13703;細雪;sasameyuki;"light snow fall";80
13704;菜種;natane;rapeseed;80
13705;三唱;sansyoo;"three cheers";80
13706;衆人;syuuzin;"the people";80
13707;所産;syosan;result;80
13708;性分;syoobun;nature;80
13709;西下;saika;"going west";80
13710;先兵;senpei;vanguard;80
13711;早生;wase;"early ripening rice";80
13712;族長;zokutyoo;patriarch;80
13713;他派;taha;"the other group";80
13714;鉄柱;tettyuu;"iron pole";80
13715;東遊;azumaasobi;Azuma-asobi;80
13716;同朋;doohoo;companions;80
13717;内助;naizyo;"wife's help";80
13718;反騰;hantoo;"reactionary price rise";80
13719;板紙;itagami;cardboard;80
13720;豹変;hyoohen;"sudden change";80
13721;父性;husei;paternity;80
13722;母音;boin;vowel;80
13723;亡者;moozya;"the dead";80
13724;名案;meian;"good idea";80
13725;妄言;boogen;"reckless remark";80
13726;諧謔;kaigyaku;joke;80
13727;安眠;anmin;"quiet sleep";79
13728;永日;eizitu;"long spring day";79
13729;縁談;endan;"marriage proposal";79
13730;欧風;oohuu;"European style";79
13731;下馬;geba;dismounting;79
13732;伽羅;kyara;"aloes wood";79
13733;画会;gakai;"artists' patrons' association";79
13734;介抱;kaihoo;nursing;79
13735;界面;kaimen;interface;79
13736;割腹;kappuku;disembowelment;79
13737;活発;kappatu;vigor;79
13738;奇蹟;kiseki;miracle;79
13739;居城;kyozyoo;"castle of a daimyo";79
13740;共益;kyooeki;"common profit";79
13741;極小;kyokusyoo;minimum;79
13742;群青;gunzyoo;ultramarine;79
13743;権能;kennoo;authority;79
13744;原寸;gensun;"actual size";79
13745;原著;gentyo;"the original work";79
13746;誤読;godoku;misreading;79
13747;混声;konsei;"mixed voices";79
13748;殺戮;saturiku;slaughter;79
13749;雑然;zatuzen;disorderliness;79
13750;手近;tezika;near;79
13751;祝宴;syukuen;"celebratory banquet";79
13752;序説;zyosetu;introduction;79
13753;小作;kosaku;"tenant farming";79
13754;枢機;suuki;"important point";79
13755;正殿;seiden;"main temple";79
13756;聖蹟;seiseki;"holy site";79
13757;石造;sekizoo;stone-built;79
13758;先議;sengi;initiative;79
13759;全快;zenkai;"complete recovery of health";79
13760;訴求;sokyuu;"promoting a product or service";79
13761;袖口;sodeguti;cuff;79
13762;着座;tyakuza;"taking a seat";79
13763;佃煮;tukudani;"preserved food boiled in soy";79
13764;顛末;tenmatu;circumstance;79
13765;尼僧;nisoo;nun;79
13766;認容;ninyoo;acknowledgement;79
13767;猫背;nekoze;"bent back";79
13768;不遜;huson;arrogance;79
13769;偏食;hensyoku;"unbalanced diet";79
13770;方途;hooto;way;79
13771;無臭;musyuu;odorless;79
13772;夕顔;yuugao;"bottle gourd";79
13773;余興;yokyoo;"side show";79
13774;謡曲;yookyoku;"noh song";79
13775;裏書;uragaki;endorsement;79
13776;冷酷;reikoku;cruelty;79
13777;連山;renzan;"mountain range";79
13778;鬱屈;ukkutu;gloomy;79
13779;亜麻;ama;flax;78
13780;英気;eiki;"great wisdom";78
13781;横糸;yokoito;weft;78
13782;荷役;niyaku;"handling cargo";78
13783;外地;gaiti;"overseas territories";78
13784;骸骨;gaikotu;skeleton;78
13785;奇想;kisoo;"fantastic idea";78
13786;帰任;kinin;"return to one's post";78
13787;鬼籍;kiseki;"roster of the dead";78
13788;弓矢;yumiya;"bow and arrow";78
13789;急転;kyuuten;"sudden change";78
13790;狂騒;kyoosoo;mania;78
13791;巾着;kintyaku;pouch;78
13792;愚策;gusaku;"inane plan";78
13793;空挺;kuutei;airborne;78
13794;甲乙;koootu;"A and B";78
13795;行幸;gyookoo;"Imperial visit";78
13796;豪傑;gooketu;hero;78
13797;腰部;yoobu;loins;78
13798;砕氷;saihyoo;"ice breaking";78
13799;鮫肌;samehada;"rough skin";78
13800;山姥;yamauba;"mountain witch";78
13801;使徒;sito;apostle;78
13802;飼養;siyoo;breeding;78
13803;宿屋;yadoya;inn;78
13804;書誌;syosi;bibliography;78
13805;諸悪;syoaku;"evil or crime";78
13806;召使;mesitukai;servant;78
13807;小柄;kozuka;"knife attached to the sheath of a sword";78
13808;殖産;syokusan;"production increase";78
13809;新案;sinan;"new idea or design";78
13810;専心;sensin;"undivided attention";78
13811;遜色;sonsyoku;inferiority;78
13812;単式;tansiki;"simple system";78
13813;男前;otokomae;"handsome man";78
13814;中庸;tyuuyoo;"middle way";78
13815;天心;tensin;zenith;78
13816;土橋;dobasi;"an earthen bridge";78
13817;倒錯;toosaku;perversion;78
13818;倒幕;toobaku;"overthrow of the shogunate";78
13819;同車;doosya;"taking the same car or train";78
13820;道順;mitizyun;itinerary;78
13821;得心;tokusin;"consenting to";78
13822;届出;todokede;report;78
13823;肉汁;nikuzyuu;"meat soup";78
13824;廃水;haisui;wastewater;78
13825;抜刀;battoo;"drawing a sword";78
13826;美麗;birei;beauty;78
13827;氷解;hyookai;"being cleared";78
13828;氷水;koorimizu;"ice water";78
13829;父上;titiue;father;78
13830;舞姫;maihime;"female dancer";78
13831;副腎;hukuzin;"suprarenal body";78
13832;分光;bunkoo;spectrum;78
13833;別種;bessyu;"another kind";78
13834;北洋;hokuyoo;"northern waters";78
13835;羅漢;rakan;arhat;78
13836;燐光;rinkoo;phosphorescence;78
13837;和式;wasiki;"Japanese style";78
13838;和訳;wayaku;"Japanese translation";78
13839;毀棄;kiki;destroying;78
13840;愛鳥;aityoo;"pet bird";77
13841;安物;yasumono;"cheap article";77
13842;衣食;isyoku;"food and clothing";77
13843;会所;kaisyo;"meeting place";77
13844;懐刀;hutokorogatana;dagger;77
13845;偽薬;giyaku;"inactive placebo";77
13846;京舞;kyoomai;"traditional Kyoto dance";77
13847;胸腺;kyoosen;thymus;77
13848;鏡餅;kagamimoti;"mirror-shaped mochi, usu. a pair stacked in order of size with a daidai on top, used as a New Year offering, then cut and eaten on January 11.";77
13849;緊縛;kinbaku;"bind tightly";77
13850;御免;gomen;"your pardon";77
13851;口承;koosyoo;"passing on by word of mouth";77
13852;荒海;araumi;"rough sea";77
13853;豪快;gookai;hearty;77
13854;豪放;goohoo;largehearted;77
13855;残余;zanyo;remainder;77
13856;詩句;siku;verse;77
13857;寂寥;sekiryoo;loneliness;77
13858;汁物;sirumono;soup;77
13859;所々;tokorodokoro;"here and there";77
13860;浄財;zyoozai;"monetary offering";77
13861;新古;sinko;"old and new";77
13862;神体;sintai;shintai;77
13863;進水;sinsui;launching;77
13864;舌鋒;zeppoo;eloquence;77
13865;走路;sooro;"race track";77
13866;大慶;taikei;"great joy";77
13867;短資;tansi;"short-term loan";77
13868;断線;dansen;disconnection;77
13869;東進;toosin;"proceeding east";77
13870;同義;doogi;"the same meaning";77
13871;同病;doobyoo;"the same sickness";77
13872;特等;tokutoo;"special quality, class or grade";77
13873;被覆;hihuku;coating;77
13874;沸点;hutten;"boiling point";77
13875;万策;bansaku;"all means";77
13876;弥勒;miroku;Maitreya;77
13877;融雪;yuusetu;"melted snow";77
13878;賄賂;wairo;bribe;77
13879;家紋;kamon;"family crest";76
13880;刊本;kanpon;"published book";76
13881;監房;kanboo;cell;76
13882;貴国;kikoku;"your country";76
13883;給仕;kyuuzi;"waiting on a table";76
13884;警笛;keiteki;horn;76
13885;兼備;kenbi;"being proficient in both";76
13886;雌伏;sihuku;"remaining in obscurity";76
13887;若造;wakazoo;youngster;76
13888;弱虫;yowamusi;coward;76
13889;縮尺;syukusyaku;"reduced scale";76
13890;小鼓;kotuzumi;"small hand drum";76
13891;寝言;negoto;sleep-talking;76
13892;生肉;seiniku;"raw meat";76
13893;精魂;seikon;soul;76
13894;製鋼;seikoo;"steel manufacture";76
13895;赤紙;akagami;"draft papers";76
13896;俗語;zokugo;colloquialism;76
13897;隊形;taikei;"battle formation";76
13898;大逆;daigyaku;"high treason";76
13899;大軍;taigun;army;76
13900;地代;zidai;"land rent";76
13901;地味;zimi;plain;76
13902;庭球;teikyuu;tennis;76
13903;弟分;otootobun;"friend treated as younger brother";76
13904;溺愛;dekiai;doting;76
13905;統帥;toosui;"supreme command";76
13906;肉片;nikuhen;"of meat";76
13907;尿素;nyooso;urea;76
13908;畑作;hatasaku;"dry field farming";76
13909;番地;banti;"house number";76
13910;鼻腔;bikoo;"the nasal cavity";76
13911;富嶽;hugaku;"Mount Fuji";76
13912;平信;heisin;"peaceful news";76
13913;砲兵;hoohei;artillery;76
13914;門人;monzin;pupil;76
13915;幼魚;yoogyo;fry;76
13916;乱造;ranzoo;overproduction;76
13917;離農;rinoo;"giving up farming for another profession";76
13918;斟酌;sinsyaku;consideration;76
13919;異才;isai;genius;75
13920;一輪;itirin;"one flower";75
13921;塩辛;siokara;"salted fish";75
13922;下心;sitagokoro;"secret intention";75
13923;回付;kaihu;transmitting;75
13924;楽劇;gakugeki;"musical play";75
13925;簡素;kanso;simplicity;75
13926;急流;kyuuryuu;"swift current";75
13927;居士;kozi;grhapati;75
13928;競作;kyoosaku;"competition for better work";75
13929;狭窄;kyoosaku;stricture;75
13930;兄嫁;aniyome;"elder brother's wife";75
13931;穴場;anaba;"little-known good place";75
13932;月次;getuzi;"every month";75
13933;減員;genin;"reduction of staff";75
13934;口角;kookaku;"corners of the mouth";75
13935;降臨;koorin;advent;75
13936;氏族;sizoku;clan;75
13937;視床;sisyoo;thalamus;75
13938;若木;wakagi;"young tree";75
13939;銃後;zyuugo;"the homefront";75
13940;熟議;zyukugi;"careful deliberation";75
13941;巡行;zyunkoo;patrol;75
13942;初物;hatumono;"first of the season";75
13943;人馬;zinba;"men and horses";75
13944;刃傷;ninzyoo;bloodshed;75
13945;接吻;seppun;kiss;75
13946;線区;senku;"train line";75
13947;相応;soooo;suitability;75
13948;造作;zoosaku;building;75
13949;対内;tainai;domestic;75
13950;大寒;daikan;"extreme cold";75
13951;琢磨;takuma;polish;75
13952;低圧;teiatu;"low pressure";75
13953;内径;naikei;bore;75
13954;肉弾;nikudan;"human bullet";75
13955;不覚;hukaku;failure;75
13956;文語;bungo;"written language";75
13957;米産;beisan;"rice production";75
13958;別項;bekkoo;"special heading";75
13959;豊穣;hoozyoo;"good harvest";75
13960;暴漢;bookan;hoodlum;75
13961;万丈;banzyoo;hurrah!;75
13962;万病;manbyoo;"all kinds of sicknesses";75
13963;猛進;moosin;"rushing madly ahead";75
13964;有意;yuui;significance;75
13965;異人;izin;foreigner;74
13966;一党;ittoo;party;74
13967;炎暑;ensyo;"heat wave";74
13968;我流;garyuu;self-taught;74
13969;歓送;kansoo;"hearty send-off";74
13970;環視;kansi;"looking around";74
13971;漁具;gyogu;"fishing tackle";74
13972;極端;kyokutan;extreme;74
13973;金時;kintoki;red;74
13974;減配;genpai;"reduction in a dividend";74
13975;五目;gomoku;"mixture of ingredients";74
13976;甲冑;kattyuu;"armor and helmet";74
13977;荒事;aragoto;"fighting scene";74
13978;国富;kokuhu;"national wealth";74
13979;死人;sinin;corpse;74
13980;私選;sisen;"personal selection";74
13981;紫煙;sien;"purple smoke";74
13982;時数;zisuu;"number of hours";74
13983;湿疹;sissin;eczema;74
13984;弱冠;zyakkan;"aged 20";74
13985;種族;syuzoku;race;74
13986;秀句;syuuku;"splendid haiku";74
13987;集束;syuusoku;focusing;74
13988;上洛;zyooraku;"proceeding to the capital";74
13989;善哉;zenzai;"Well done!";74
13990;大君;taikun;"liege lord";74
13991;大計;taikei;"grand-scale or long-range plan";74
13992;知将;tisyoo;"skilled manager";74
13993;中肉;tyuuniku;"medium build";74
13994;不審;husin;"incomplete understanding";74
13995;腐乱;huran;decomposition;74
13996;風花;kazabana;"flurry of snow in a clear sky";74
13997;文政;bunsei;"educational policies or administration";74
13998;平生;heizei;usual;74
13999;平熱;heinetu;"normal temperature";74
14000;別納;betunoo;"separate payment";74
14001;方舟;hakobune;ark;74
14002;無毒;mudoku;nonpoisonous;74
14003;洋洋;yooyoo;broad;74
14004;離乳;rinyuu;weaning;74
14005;老境;rookyoo;"old age";74
14006;狡猾;kookatu;sly;74
14007;下剤;gezai;laxative;73
14008;箇所;kasyo;passage;73
14009;寒々;samuzamu;wintry;73
14010;奇行;kikoo;eccentricity;73
14011;仇討;adauti;vengeance;73
14012;欠食;kessyoku;"missing a meal";73
14013;嫌煙;kenen;"dislike of smoking";73
14014;行者;gyoozya;ascetic;73
14015;国文;kokubun;"national literature";73
14016;骨身;honemi;"flesh and bones";73
14017;祭事;saizi;festival;73
14018;細管;saikan;"small tube";73
14019;搾乳;sakunyuu;milking;73
14020;史書;sisyo;"history book";73
14021;市庁;sityoo;"municipal office";73
14022;自害;zigai;suicide;73
14023;柔術;zyuuzyutu;jujitsu;73
14024;巡演;zyunen;"performance tour";73
14025;寝坊;neboo;"sleeping in late";73
14026;心房;sinboo;atrium;73
14027;新規;sinki;new;73
14028;水木;mizuki;dogwood;73
14029;衰亡;suiboo;ruin;73
14030;正妻;seisai;"legal wife";73
14031;精妙;seimyoo;exquisite;73
14032;声色;kowairo;"tone of voice";73
14033;尖塔;sentoo;spire;73
14034;全品;zenpin;"all goods";73
14035;沈潜;tinsen;"sinking into deep thought";73
14036;盗人;nusutto;thief;73
14037;騰落;tooraku;"rise and fall";73
14038;闘犬;tooken;dogfight;73
14039;同格;dookaku;"the same rank";73
14040;同色;doosyoku;"same color";73
14041;特賞;tokusyoo;"special prize";73
14042;日日;hiniti;"the number of days";73
14043;乳首;tikubi;nipple;73
14044;売値;urine;"selling price";73
14045;舶来;hakurai;imported;73
14046;美点;biten;virtue;73
14047;氷点;hyooten;"freezing point";73
14048;不屈;hukutu;persistence;73
14049;附属;huzoku;attached;73
14050;仏画;butuga;"Buddhist picture";73
14051;米作;beisaku;"rice crop";73
14052;放蕩;hootoo;dissipation;73
14053;某国;bookoku;"certain country";73
14054;墨絵;sumie;"ink painting";73
14055;名士;meisi;celebrity;73
14056;毛色;keiro;"hair color";73
14057;野蛮;yaban;savage;73
14058;利生;risyoo;"blessings bestowed by the Buddha on all living creatures";73
14059;露天;roten;"open air";73
14060;跋扈;bakko;rampancy;73
14061;辟易;hekieki;"to wince";73
14062;圧制;assei;oppression;72
14063;右記;uki;aforementioned;72
14064;縁石;enseki;curb;72
14065;火傷;kasyoo;burn;72
14066;機甲;kikoo;armour;72
14067;貴人;kizin;aristocrat;72
14068;虚栄;kyoei;vanity;72
14069;虚言;kyogen;falsehood;72
14070;強靱;kyoozin;tough;72
14071;九九;kuku;"multiplication table";72
14072;恵方;ehoo;"favourable direction";72
14073;元号;gengoo;"era name";72
14074;後段;koodan;"latter or second part";72
14075;行路;kooro;"one's course";72
14076;降参;koosan;"giving in to";72
14077;策謀;sakuboo;strategy;72
14078;残務;zanmu;"remaining business";72
14079;詩編;sihen;"book containing a collection of poems";72
14080;酒宴;syuen;"drinking bout";72
14081;処世;syosei;conduct;72
14082;諸相;syosoo;"various aspects or phases";72
14083;女体;nyotai;"woman's body";72
14084;小瓶;kobin;"small bottle";72
14085;食前;syokuzen;"before meals";72
14086;新奇;sinki;novel;72
14087;神仙;sinsen;"immortal mountain wizard";72
14088;水腫;suisyu;dropsy;72
14089;羨望;senboo;envy;72
14090;前足;maeasi;forefoot;72
14091;前腕;zenwan;forearm;72
14092;蔵匿;zootoku;concealment;72
14093;大抵;taitei;mostly;72
14094;大部;taibu;lengthy;72
14095;定本;teihon;"revised edition";72
14096;泥縄;doronawa;"braiding the rope only after the thief is caught";72
14097;点心;tensin;"Zen monk's early morning meal";72
14098;党人;toozin;"party man";72
14099;踏査;toosa;survey;72
14100;導水;doosui;"water conveyance";72
14101;二葉;hutaba;bud;72
14102;日和;hiyori;weather;72
14103;白濁;hakudaku;cloudiness;72
14104;八丈;hatizyoo;"plain-woven silk cloth produced on Hachijo Island";72
14105;判示;hanzi;opinion;72
14106;秘宝;hihoo;treasure;72
14107;文武;bunbu;"literary and military arts";72
